generated_intro,generated_intro_len
"Sexhow railway station was a railway station located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.",78
"In Finnish folklore, all places and things, animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.",80
"In mathematics, specifically differential calculus, the inverse function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.",59
"is a Japanese shōjo manga series written and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world. Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...",121
"Robert Milner ""Rob"" Bradley, Jr. (born August 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.",136
"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people. The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population. The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.",164
"HarperOne is a publishing imprint of HarperCollins, specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.",80
"In computer science and mathematics, a full employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.",134
"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy"") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.",130
"Qasr Ibrahim (Ibrahim Palace) is a historical palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.",100
